Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
23.4,22.3,6.7,Leon County,14.8,82.9,0.8,0.8,7.5,14.2,0,1.4,89.5,76.3,24170,17.7,44452,16801,16861,0.4,15.7,TX
12.7,25.1,6.8,Liberty County,8.8,75.1,1,0.7,10.9,20.7,0.1,1.6,85.7,66.5,19740,18.4,47228,75643,78117,3.3,65.3,TX
17.5,23.1,6.3,Limestone County,12.4,79.3,1.1,0.6,18.1,20.8,0.1,1.6,78.5,59.6,19352,21.5,38823,23384,23524,0.6,25.8,TX
14.4,26.7,6.2,Lipscomb County,21.5,81.6,2.1,0.5,1.8,31.6,0.2,2.3,93.2,64.5,29017,10.9,57978,3302,3553,7.6,3.5,TX
19.8,20,4.9,Live Oak County,14.3,79.6,1.2,0.7,4.9,37.5,0,0.9,92.3,56.3,21016,17.1,42829,11531,12091,4.9,11.1,TX
33.9,15.5,4.3,Llano County,25.4,86.7,0.9,0.6,1.3,9.8,0,1.2,96,87.1,33634,14.1,44094,19301,19510,1.1,20.7,TX
15.1,30.2,9.3,Loving County,7.9,89.5,3.5,0,0,20.9,0,0,96.5,75.6,34068,12,68750,82,86,4.9,0.1,TX
11.8,24.2,6.8,Lubbock County,27.9,84.4,1.1,2.3,7.8,34,0.1,1.7,87,55.2,23773,20.4,44397,278831,293974,5.4,311.3,TX
15.8,27.3,7.1,Lynn County,17.7,76.1,1.9,0.3,2.5,47.7,0,1.9,93.4,48.8,21639,20.2,44375,5915,5771,-2.4,6.6,TX
21.7,23.4,6.2,McCulloch County,15,77.1,1,0.6,2.8,31.1,0,1.2,94.4,65.2,20677,16.6,39194,8283,8199,-1,7.8,TX
13.4,24.8,7.1,McLennan County,21.7,82.3,1.1,1.6,15.1,25.2,0.1,1.8,80.3,57.3,21660,22,41922,234906,243441,3.6,226.5,TX
22.9,20.5,4.1,McMullen County,6.8,67,0.5,0.5,1.4,37.8,0,2.6,95,59.4,27375,19.2,39500,707,805,13.9,0.6,TX
14.7,21.5,5.7,Madison County,12.5,78.8,1.1,0.8,20.3,22.2,0,1.7,76,56,15131,25.2,41732,13664,13861,1.4,29.3,TX
23.6,18.4,4.5,Marion County,12.2,81,1.1,0.7,22.2,4.1,0,2,73.9,70.7,20337,23.2,31967,10546,10149,-3.7,27.7,TX
12.2,30.2,8.9,Martin County,10.9,70.1,1.3,0.3,2.3,45.6,0.1,1.2,94.7,51.1,20859,15.8,42607,4799,5460,13.8,5.2,TX
27.4,20.1,4.1,Mason County,26.5,82,0.6,0.2,1,23.8,0.2,0.9,96.9,74.3,27504,13.6,46865,4012,4071,1.5,4.3,TX
15.8,25.5,7.1,Matagorda County,14.5,78.1,1.3,2.2,11.5,40.4,0.1,1.4,83.5,45.7,23389,21.1,43096,36702,36519,-0.5,33.4,TX
11.4,31.9,9,Maverick County,12.2,56.6,1.5,0.5,0.6,95.1,0,0.4,96.9,3.1,13668,30.5,31395,54258,57023,5.1,42.4,TX
15.5,23.9,5.5,Medina County,20,80.5,1,0.9,2.8,50.9,0.1,1.2,93.9,44.9,22413,17.7,55326,46006,47894,4.1,34.7,TX
30.1,17.6,4.8,Menard County,18.8,75.3,1.4,0.3,1.7,35.4,0.1,0.6,95.9,62.2,18253,23.5,31215,2242,2147,-4.2,2.5,TX
10.2,27.6,8.4,Midland County,24.4,81.8,1.1,1.6,6.8,42.4,0.1,1.5,88.9,48.6,33672,10.4,62993,136872,155830,13.8,152,TX
19.4,24.8,6.3,Milam County,14.4,81.2,1.2,0.7,10,25.5,0,1.3,86.7,63.2,21248,19.2,37391,24757,24256,-2,24.3,TX
25.2,22.4,4.9,Mills County,21.9,81.5,0.9,0.2,1.1,17.3,0,1.2,96.5,80.3,22651,13.1,44213,4936,4870,-1.3,6.6,TX
13.8,20,5.3,Mitchell County,8.3,75.3,1.5,0.7,11.9,39.2,0.1,1.7,84.1,48.5,15936,11.7,42045,9403,9076,-3.5,10.3,TX
21.5,23,6,Montague County,16.6,82,1.4,0.4,0.8,10.5,0,1.4,96,86.5,24699,15.6,44231,19719,19416,-1.5,21.2,TX
12,26.8,6.8,Montgomery County,30.7,86.3,1,2.7,4.9,22.5,0.1,1.7,89.6,68.6,32911,12.4,67766,455746,518947,13.9,437.5,TX
10.2,31.3,9.5,Moore County,13.2,67.5,1.5,8.6,3,52.8,0.2,1.2,85.5,34.9,19770,15.4,51181,21904,22148,1.1,24.3,TX
21,22.9,6.3,Morris County,13.1,82,1.2,0.5,23,9.1,0.1,2,73.1,65.1,20045,20.6,37849,12934,12743,-1.5,51.3,TX
28.4,19.9,3.7,Motley County,18.1,86.8,1.7,0.9,2.1,16.5,0,0.2,95.1,79.9,18828,25.5,35845,1210,1153,-4.7,1.2,TX
13.1,23.5,7.2,Nacogdoches County,24.3,80.5,0.9,1.7,18.3,18.5,0.1,1.7,77.3,60.3,20362,25.7,36777,64524,65301,1.2,68.2,TX
16.2,26.2,7.3,Navarro County,16.5,78.6,1.1,0.8,14,25.6,0.9,1.7,81.5,58,20327,21.1,40795,47735,48195,0.8,47.3,TX
17.7,21.7,5.6,Newton County,7.5,85.1,0.8,0.7,20.1,3.6,0,1.5,76.9,73.8,20431,16.1,37246,14445,14138,-2.1,15.5,TX
16.9,25.8,6.6,Nolan County,12.5,78.7,1,0.7,5.2,36,0,1.5,91.6,57.7,19002,18.5,36806,15216,15093,-0.8,16.7,TX
13,25.3,6.8,Nueces County,20,79.8,0.8,2,4.4,62.4,0.1,1.4,91.2,30.9,23671,18.4,47057,340223,356221,4.7,405.8,TX
10.3,31.5,8.9,Ochiltree County,15.3,69.5,1.4,0.8,1,51.5,0,1.3,95.4,45.8,23382,17.3,49964,10223,10758,5.2,11.1,TX
13.9,28.1,4,Oldham County,31.3,87.3,1.1,1.2,3.6,14.6,0,1.8,92.3,78.6,22519,14.2,48929,2052,2070,0.9,1.4,TX
15.1,24.7,6.7,Orange County,13,86.2,0.7,1.1,8.8,6.9,0.1,1.5,87.8,81.6,24736,14.4,49507,81837,83433,2,245.3,TX
18.2,24.2,6.6,Palo Pinto County,15.1,79.4,1,0.7,2.5,19.8,0.1,1.5,94.2,75.5,23655,18.5,41670,28111,28096,-0.1,29.5,TX
16.9,24.2,6.4,Panola County,11.8,83.5,0.6,0.5,16,9.1,0.1,1.7,81,73.1,26525,12.7,52453,23796,23769,-0.1,29.7,TX
14.8,24.4,5.7,Parker County,25,88.1,0.9,0.7,1.7,11.4,0.1,1.6,95.1,84.4,30692,10.9,64515,116927,123164,5.3,129.4,TX
12.7,29.1,8.2,Parmer County,16.2,62.5,2,0.5,1.7,62.1,0.3,1,94.4,35.9,19304,21.3,44943,10269,9908,-3.5,11.7,TX
12.4,24.5,7.6,Pecos County,12.7,68.7,1.1,1.2,4.4,67.6,0.1,1,92.2,26.5,20245,16.7,47019,15507,15893,2.5,3.3,TX
19.9,20.5,5.6,Polk County,11.3,76.9,2.2,0.7,11.4,14.4,0.1,1.4,84.1,71,19498,20.2,37855,45413,46079,1.5,43,TX
11.6,27.6,8.3,Potter County,15.6,75.7,1.3,4.8,10.6,37.4,0.1,2,81.1,46.3,19861,23.1,37951,121073,121627,0.5,133.3,TX
21,26,7.1,Presidio County,23.6,54.7,1.6,1.6,1.5,82.7,0,0.9,94.3,14,16175,24.8,29634,7818,6976,-10.8,2,TX
23.6,20.2,5,Rains County,11,82.2,1.1,0.8,2.9,8.2,0,1.5,93.6,86.2,21946,13.6,44478,10914,11032,1.1,47.6,TX
13.6,24.3,6.6,Randall County,30.2,91.1,0.9,1.7,3.2,19.5,0.1,1.7,92.5,74.3,29124,10.3,58529,120725,128220,6.2,132.4,TX
10.3,30.3,8.4,Reagan County,10.6,61.2,1.1,0.7,3.9,65.9,0,2.2,92.1,30.2,26633,9.5,61250,3367,3755,11.5,2.9,TX
28.5,17.3,5.2,Real County,19.5,76.6,1.9,0.3,0.9,26.7,0.4,1.8,94.7,69.6,17931,20.2,33885,3309,3371,1.9,4.7,TX
22.8,20.2,5.2,Red River County,14.5,76.7,1.5,0.3,17.4,7.2,0,1.7,79,73.1,19014,16.1,31712,12860,12446,-3.2,12.4,TX
12,22.5,6,Reeves County,10.5,63.2,0.9,1.1,5.5,74.4,0.1,0.8,91.6,19.1,15467,21.9,40571,13783,14349,4.1,5.2,TX
20.7,23.1,6,Refugio County,11.2,78.6,1,0.8,6.7,49.8,0,1.5,90,42.5,23174,16.2,44548,7383,7302,-1.1,9.6,TX
18.6,24.7,4.2,Roberts County,33.2,92.6,0.3,0.2,0.5,10.9,0,2.4,96.6,86.4,36172,3,67321,929,928,-0.1,1,TX
18.5,24.4,6.7,Robertson County,15.8,76.3,0.9,0.8,20.6,19.7,0.1,1.6,76,58.3,21709,20.7,40601,16622,16500,-0.7,19.4,TX
11.8,27.7,6.1,Rockwall County,36.5,91.2,0.8,2.8,6.1,17,0.1,1.8,88.4,72.6,34617,5.9,86119,78337,87809,12.1,616.7,TX
20.6,24,5.5,Runnels County,14.9,77.6,1.6,0.7,2.6,33.9,0.1,1.1,93.8,62.3,20235,21.9,37667,10501,10416,-0.8,10,TX
15.1,23.2,6.5,Rusk County,13.8,79.8,1,0.7,17.7,16.1,0.1,1.6,78.9,64.3,21640,17.8,45752,53330,53923,1.1,57.7,TX
28.6,18.6,4.3,Sabine County,13.4,80.3,0.8,0.4,7.5,4.3,0,1.5,89.8,86.1,18762,25.8,32963,10834,10350,-4.5,22,TX
25.3,20.4,6,San Augustine County,12.4,77.2,0.6,0.5,22.8,7.4,0,1.5,74.7,68.3,18695,26.4,28390,8865,8610,-2.9,16.7,TX
20,22.4,5.5,San Jacinto County,12,78.9,0.9,0.5,10.3,12.7,0,1.9,86.2,74.9,24733,20.1,46107,26384,27099,2.7,46.3,TX
14.2,27.3,7.1,San Patricio County,14.7,77,0.9,1.1,2.2,56,0.1,1.4,94.2,40.2,23373,17,50657,64804,66915,3.3,93.5,TX
22.8,20.8,5.8,San Saba County,13.1,81,1.3,0.3,2.5,29.1,0,1.6,94.4,67.1,18009,15.2,37743,6131,5622,-8.3,5.4,TX
15.1,29.2,5.8,Schleicher County,21.9,76.3,0.6,0.5,1.8,52.2,0,1.7,95.4,45.4,24787,22.8,50648,3461,3162,-8.6,2.6,TX
13.7,25.5,7.5,Scurry County,14.4,76.1,1.2,0.8,5.1,39.3,0.1,1.4,91.4,54.5,22860,15.7,47513,16921,17328,2.4,18.7,TX
18.5,23.5,5.7,Shackelford County,25.4,87.1,0.6,0.4,1.4,11.5,0.1,1.6,95.9,85.5,25436,16.1,47277,3378,3343,-1,3.7,TX
16.1,26.4,7.2,Shelby County,13.7,77.5,0.9,1,17.6,18,0,1.2,79.2,62.8,21126,22.1,37081,25448,25515,0.3,32,TX
14,27.8,7,Sherman County,20,77,1.6,0.6,1.2,42.2,0,1.2,95.4,55.3,21936,13.7,48185,3034,3084,1.6,3.3,TX
15.5,24.9,7,Smith County,24.5,85.2,0.8,1.5,17.9,18.7,0.1,1.6,78.1,60.7,25626,16.7,47432,209714,218842,4.4,227.6,TX
18.1,23.5,5.1,Somervell County,29,84.4,1.3,1,1.2,19.4,0,2.3,94.2,76.8,28134,9.3,55269,8490,8694,2.4,45.5,TX
11.3,33,10.4,Starr County,8.6,45,0.3,0.3,0.4,95.8,0,0.2,98.8,3.8,11584,39.2,24927,60968,62955,3.3,49.8,TX
19.1,22.3,5.4,Stephens County,15.6,80.6,1.1,0.5,2.6,22.9,0,1,94.7,73,20535,18.8,41728,9630,9405,-2.3,10.7,TX
16.7,26.7,5.5,Sterling County,22.3,76.9,1.8,0.1,1.3,38,0.1,2.3,94.3,57.8,20157,15.1,50543,1143,1339,17.1,1.2,TX
25.8,22.4,5.5,Stonewall County,20.2,74.6,1.4,0.9,3.8,15.6,0,1.5,92.4,78.5,24063,16.6,42429,1490,1403,-5.8,1.6,TX
16.1,25.5,7.8,Sutton County,17.9,76.9,1,0.4,0.9,60.8,0,0.8,96.8,38.1,27721,7.3,53806,4128,3972,-3.8,2.8,TX
18.1,25.4,6.8,Swisher County,16.3,78.3,1.4,0.4,8.3,42.1,0.1,1.4,88.4,48.8,17880,23.1,36753,7854,7581,-3.5,8.8,TX
10.2,27.1,7.3,Tarrant County,29.5,84.5,0.9,5.3,16.2,27.8,0.2,2.3,75.2,49.3,28266,15.2,56853,1809034,1945360,7.5,2094.7,TX
13.9,24.6,7.3,Taylor County,24.4,85.4,1,1.9,7.8,23.6,0.1,2.6,86.6,65.2,23141,17.4,44891,131506,135143,2.8,143.6,TX
23,20.1,5.8,Terrell County,17.4,74.5,2.8,2.4,1.9,48.9,0,1.1,91.8,46,31578,10,39479,984,927,-5.8,0.4,TX
14.6,26.9,7.9,Terry County,15.5,69.1,1.1,0.6,5.2,53.2,0,1.2,91.9,41.3,21201,14,37679,12651,12739,0.7,14.2,TX
25.3,21.5,4.7,Throckmorton County,19.8,80.1,0.9,0.4,1.1,11.9,0,1.1,96.5,85.3,24086,13.7,39286,1641,1608,-2,1.8,TX
13.2,29.2,8,Titus County,13.8,72.1,2.4,1,10.3,41.5,0.2,1.3,84.8,46.8,19356,22,42939,32334,32506,0.5,79.6,TX
14.5,23.6,6.8,Tom Green County,21.6,82.6,1.1,1.3,4.6,38.1,0.1,2,90.8,55.1,23712,16.2,44545,110224,116608,5.8,72.4,TX
8.4,23,6.9,Travis County,44.9,87,1.3,6.5,8.9,33.9,0.1,2.4,80.7,49.7,33206,17.4,58025,1024266,1151145,12.4,1034.4,TX
25.3,19.6,4.7,Trinity County,9.9,81.3,0.8,0.4,9.8,9.2,0,1.6,87.3,78.7,18730,16.1,34555,14585,14224,-3.1,21,TX
20.6,19.4,5.3,Tyler County,11.8,82.8,0.8,0.4,11.5,7.7,0,1.3,86.1,79.2,19612,17.4,39940,21766,21418,-1.6,23.5,TX
17.1,24,6.3,Upshur County,13.3,82.5,1.1,0.5,8.5,7.9,0,2,87.8,80.8,22483,15.8,46600,39309,40354,2.6,67.4,TX
13.8,28.5,8.2,Upton County,11.5,73.9,2.9,0.4,2.7,52.8,0,1.7,92.4,43.3,22953,17.1,51750,3355,3454,3.1,2.7,TX
16,27.8,7.6,Uvalde County,14.5,69.1,1.1,0.7,1.2,70.2,0.1,0.9,96,27.9,17479,26.5,34902,26405,27117,2.7,17,TX
13.8,28.9,8.3,Val Verde County,15.3,67,0.9,0.8,2,80.4,0.2,1,95.2,16.8,17867,22.1,40450,48879,48974,0.2,15.5,TX
19.8,23.5,5.6,Van Zandt County,13.5,81.2,1,0.5,3.1,10.2,0.1,1.6,93.8,84.4,21920,16.4,43439,52579,52910,0.6,62.4,TX
14.6,25.8,7.2,Victoria County,16.3,81.8,0.9,1.4,6.9,45.3,0.1,1.4,89.4,46.2,24700,16.9,50364,86793,91081,4.9,98.4,TX
11.4,15.6,4.2,Walker County,17.9,81.7,0.8,1.2,23.1,17.8,0.1,1.4,73.4,57.1,16330,26,37617,67861,69789,2.8,86.5,TX
11.5,24,6.3,Waller County,19,80.9,1.6,0.8,25.6,29.8,0.1,1.4,70.5,43.3,22412,20.4,50097,43205,46820,8.3,84.1,TX
14.1,28,8,Ward County,12.5,71.9,1.7,0.7,4.9,51.5,0.1,1.8,90.8,42.2,22278,20.4,42568,10658,11625,9.1,12.8,TX
19.8,21.6,5.9,Washington County,23.5,80.9,0.5,1.8,18,15.1,0,1.1,78.5,64.8,23070,14.9,44858,33718,34438,2.2,55.8,TX
8.7,34,10,Webb County,17.2,64.2,0.6,0.7,0.7,95.2,0,0.4,97.6,3.7,14553,31.4,39449,250304,266673,6.5,74.5,TX
15.8,25.9,6.7,Wharton County,14.6,74.7,0.7,0.6,14.1,39.7,0.1,0.9,83.6,45.8,20310,18.8,40411,41280,41168,-0.3,38,TX
17.2,26.4,6.9,Wheeler County,18.4,80.5,1.5,0.7,2.8,27.3,0,1.7,93.2,67.9,30097,14.3,51766,5410,5714,5.6,5.9,TX
13.8,22.8,6.6,Wichita County,20.1,85.2,1.3,2.2,10.9,18.3,0.1,2.5,83,66.6,22905,15.6,45086,131500,132355,0.5,209.5,TX
16.9,23.6,6.7,Wilbarger County,16.5,79,1.5,1,8.7,28.7,0.1,2,86.6,59.9,20373,20.7,41658,13535,12973,-4.2,13.9,TX
12.6,25.3,6.5,Willacy County,8.8,62.2,0.7,0.8,2.7,87.7,0.1,0.5,95.3,9.4,11313,40,25886,22134,21903,-1,37.5,TX
10.9,27.1,6.8,Williamson County,38,92,0.9,6,6.8,23.9,0.1,2.6,83.6,61.7,31070,7,71803,422679,489250,15.8,378,TX
14.9,24.8,5.7,Wilson County,18,84.6,0.9,0.5,1.7,38.6,0,1.4,95.4,58.2,27238,11.5,64571,42918,46402,8.1,53.4,TX
10.9,30.4,8.1,Winkler County,9.6,70.1,1.8,0.6,3,58.2,0,0.9,93.7,38.2,23629,12.8,48992,7110,7821,10,8.5,TX
14.4,25.1,6.5,Wise County,16.1,83.8,1,0.5,1.6,18.4,0.1,1.5,95.3,77.9,25663,10.8,56005,59127,61638,4.2,65.4,TX
26.5,19.7,4.9,Wood County,17,83.4,1,0.6,5,9.6,0.1,1.4,91.9,83.3,23129,14.6,43649,41964,42852,2.1,65,TX
11.9,32.3,9.5,Yoakum County,15,70.3,1.7,0.5,1.6,63.1,0,1.2,95,34.4,21389,11.7,49340,7879,8286,5.2,9.9,TX
19.4,24,6.7,Young County,16.7,78.6,1.3,0.6,1.6,17.9,0.1,1.4,95,78.7,26979,16,44429,18550,18350,-1.1,20.3,TX
11.6,33.4,10.1,Zapata County,8.5,54.8,0.5,0.2,0.4,93.9,0,0.2,98.7,5.5,16671,34.7,31109,14018,14319,2.1,14,TX
12.5,30.6,8.9,Zavala County,9.4,60.3,1,0.2,1.3,93,0.2,0.8,96.6,6.2,12828,35,25625,11677,12267,5.1,9,TX
13.7,32.3,8.2,Beaver County,17,90.9,2,1.3,0.4,10.9,0.5,1.6,94.2,85.3,19415,14.1,46660,6629,6461,-2.5,2.6,UT
12.2,32.8,8.6,Box Elder County,21.2,91.7,1.2,1,0.5,9.1,0.2,1.8,95.2,87.2,21720,8.8,57292,49975,51518,3.1,8.7,UT
8.6,31.1,9.3,Cache County,36.9,92.5,1,2.6,0.8,10.5,0.5,1.9,93.2,84.2,20074,16.6,49506,112656,118343,5,96.7,UT
15.3,26.9,7.7,Carbon County,12.6,86,1.6,0.7,0.8,13.1,0.2,1.8,95,83.2,20155,15.1,44724,21403,20660,-3.5,14.5,UT
21.2,23,5.2,Daggett County,18.8,86,1.4,0.5,0.4,4.2,0.1,1.6,96,93,22811,8.6,46917,1059,1117,5.3,1.5,UT
9.1,33.3,8.9,Davis County,34.1,95.4,0.7,2,1.4,9.1,0.7,2.5,92.7,84.7,26035,7.9,69707,306479,329692,7.6,1025.8,UT
10.9,34.3,10.4,Duchesne County,16,86.4,4.6,0.5,0.6,8.1,0.4,2.3,91.6,85.2,23411,8.9,57683,18607,20380,9.5,5.7,UT
14.6,31,7.6,Emery County,12.5,89.8,0.9,0.5,0.5,6.3,0.1,1,97,91.4,20137,10,52763,10976,10631,-3.1,2.5,UT
19,25.3,6.1,Garfield County,20.1,92,2.4,1.1,0.5,5.6,0.3,1.3,94.5,89.9,21989,11.5,45357,5172,5024,-2.9,1,UT
15.9,22.7,6.9,Grand County,25.2,91,4.4,1,0.7,10,0.1,2.2,91.7,83.2,23558,13.7,45888,9225,9429,2.2,2.5,UT
11.4,29.2,8.4,Iron County,26.4,90.6,2.5,1,0.7,8.3,0.4,2,93.4,86.3,17839,20.9,42369,46163,47269,2.4,14,UT
11.7,35.1,8.9,Juab County,14.6,89.9,1,0.4,0.4,4.7,0.2,1.5,96.4,92.7,18108,14.7,55247,10246,10486,2.3,3,UT
21.5,22.9,5.8,Kane County,25.3,94.4,1.7,0.5,0.4,4.5,0.1,1.5,95.8,91.6,24154,7.8,48540,7125,7254,1.8,1.8,UT
16.1,31.4,8.2,Millard County,19,86.4,2,0.9,0.5,12.8,0.2,1.4,95,84.1,19972,13.3,49238,12503,12606,0.8,1.9,UT
11.3,35.4,8.4,Morgan County,33.4,97.6,0.4,0.7,0.3,2.7,0.1,0.9,97.6,95.3,26274,4,80337,9469,10608,12,15.5,UT
24.7,25.7,3.6,Piute County,17,88.7,1,0.5,0.2,7.7,0.1,1.1,97,90.2,16959,25.4,38500,1556,1484,-4.7,2.1,UT
17.7,29.7,7,Rich County,17,95.3,0.8,0.3,0.3,4.6,0,1,97.6,93.2,24258,7,50000,2264,2293,1.3,2.2,UT
9.6,28.3,8.1,Salt Lake County,31,89,1.3,3.9,2,17.8,1.6,2.6,88.5,72.6,26103,12.7,60555,1029655,1091742,6,1387.1,UT
11.9,32.2,8.1,San Juan County,18.4,82.8,46.6,0.7,0.4,5.1,0.1,2.2,50,46.6,15476,27.1,40492,14746,15251,3.4,1.9,UT
12.8,27.6,6.5,Sanpete County,20.8,88.4,1.7,0.8,1,9.7,0.6,1.6,94.3,85.9,17811,15.7,48369,27822,28477,2.4,17.5,UT
15.7,30.2,7,Sevier County,16.4,89.9,1.5,0.4,0.3,4.9,0.2,1.2,96.5,92.3,19115,15.4,46229,20802,20773,-0.1,10.9,UT
9.8,26.2,6,Summit County,48.7,93.1,0.6,1.7,0.7,11.6,0.2,1.5,95.4,84.7,42462,8.5,83336,36324,39105,7.7,19.4,UT
8.6,34.5,8.5,Tooele County,20.4,92,1.3,0.8,0.9,11.8,0.5,2.2,94.3,83.7,22252,8.7,61412,58218,61598,5.8,8.4,UT
9.1,33.8,9.8,Uintah County,16.2,86.2,7.7,0.5,0.6,8,0.5,2.2,88.4,82,23805,11.6,62067,32588,36867,13.1,7.3,UT
7.2,34.9,10.2,Utah County,36.5,93.6,0.8,1.6,0.7,11.2,0.9,2.4,93.5,83.3,20774,14,60196,516564,560974,8.6,257.8,UT
9.4,32.9,7.9,Wasatch County,33.4,89.6,0.8,1.2,0.5,12.9,0.2,1.5,95.8,84.2,25777,9.5,65050,23530,27714,17.8,20,UT
19.6,28.3,7.3,Washington County,26.4,91.7,1.7,0.9,0.8,10,0.9,2,93.7,85.2,21472,15.3,49279,138115,151948,10,56.9,UT
18.8,27.1,6.1,Wayne County,25.2,95.7,1,0.8,0.1,4.8,0.3,1.6,96.2,92.3,19858,18.2,41458,2778,2723,-2,1.1,UT
11.1,29.2,8,Weber County,22.7,88.8,1.2,1.5,1.6,17.7,0.3,2.4,92.9,77.1,23106,12.8,54974,231236,240475,4,401.4,UT
16.9,18.2,4.3,Addison County,35.6,90.7,0.2,1.8,1,2.2,0,1.9,95,93.2,28722,11.3,57565,36821,37009,0.5,48,VT
21.2,19.5,4.7,Bennington County,32.3,90.1,0.4,0.9,1,1.8,0.1,1.3,96.4,94.9,29196,13.9,50221,37125,36445,-1.8,55,VT
17.8,20.4,4.8,Caledonia County,26.6,89.8,0.5,0.8,0.8,1.5,0,1.5,96.3,95.1,23584,14.1,45395,31227,30981,-0.8,48.1,VT
13.2,18.7,4.9,Chittenden County,47.4,93.9,0.3,3.5,2.4,2.2,0,2.1,91.7,89.9,33281,11.2,63989,156545,160531,2.5,291.7,VT
23.3,17.6,4.3,Essex County,14.7,83.3,0.6,0.4,0.4,1.3,0,1.4,97.2,96.1,20887,15.9,35916,6306,6125,-2.9,9.5,VT
13.9,23.1,6,Franklin County,23.7,88.8,1,0.6,0.7,1.4,0,2.2,95.5,94.3,27398,10.2,56240,47746,48642,1.9,75.3,VT
17.9,18.9,4.6,Grand Isle County,30.3,91.6,1.3,0.4,0.7,1.8,0.1,2.8,94.8,93.4,33159,6.9,59509,6970,6994,0.3,85.2,VT
15.2,21.2,5.2,Lamoille County,36.4,92.6,0.4,0.6,0.8,1.6,0,1.7,96.4,95,27157,12.6,52686,24475,25082,2.5,53.3,VT
17.6,19.7,4.8,Orange County,29.9,91.3,0.3,0.5,0.6,1.3,0,1.7,96.8,95.7,27289,13.1,52480,28936,28859,-0.3,42.1,VT
20.3,20.1,4.9,Orleans County,21.3,86.2,0.6,0.4,0.7,1.3,0,1.5,96.7,95.6,22303,15.4,41953,27231,27082,-0.5,39.3,VT
19.4,18.4,4.6,Rutland County,28,89.4,0.3,0.7,0.6,1.3,0,1.4,97,95.9,26205,13,49271,61642,60086,-2.5,66.3,VT
17,19.4,4.9,Washington County,38.1,93.5,0.3,0.9,0.9,1.9,0,1.9,96,94.4,29761,9.6,57281,59534,58998,-0.9,86.6,VT
19.3,18.9,4.6,Windham County,33.5,90.8,0.3,1.1,1.2,2.1,0.1,1.9,95.5,93.7,28867,12.4,50234,44513,43714,-1.8,56.7,VT
20.7,18.8,4.6,Windsor County,34,92.7,0.3,1.1,0.9,1.4,0,1.6,96.2,95,30932,10.3,52460,56670,56014,-1.2,58.5,VT
21.3,20.9,6,Accomack County,17.2,78,0.7,0.7,28.1,8.9,0.2,1.6,68.8,61.1,22703,20.5,39328,33164,33021,-0.4,73.8,VA
16.5,21,5.5,Albemarle County,52.2,91.4,0.4,4.9,9.9,5.7,0.1,2.5,82.3,77.5,37239,10.2,67725,98970,104489,5.5,137.3,VA
24.3,19.1,4.3,Alleghany County,16.4,82.7,0.2,0.5,4.8,1.4,0.1,1.5,92.9,91.8,24162,12.6,44848,16250,15820,-2.7,36.5,VA
18.2,21.1,5.3,Amelia County,14,78.9,0.6,1.1,21.9,3.1,0.1,1.6,74.8,72.7,25100,8.3,52885,12690,12855,1.3,35.7,VA
18.9,19.8,5,Amherst County,17.4,79.1,0.9,0.5,19.1,2.2,0,2.1,77.3,75.4,22580,11.4,44945,32353,32041,-1,68.3,VA
19.1,21.9,6.1,Appomattox County,15,82.2,0.3,0.4,19.9,1.2,0,1.8,77.6,76.6,23636,17.7,50167,14973,15279,2,44.9,VA
9.3,17.2,6.2,Arlington County,71.7,93.3,0.7,10.3,9.1,15.7,0.1,3.2,76.6,62.8,62018,8,103208,207627,226908,9.3,7993.6,VA
19.4,19.7,4.3,Augusta County,19.9,84.2,0.3,0.6,4.2,2.5,0,1.3,93.7,91.5,25519,9.5,52027,73750,73862,0.2,76.3,VA
25,16,3.8,Bath County,20.2,90,0.2,0.4,5,1.8,0,1,93.5,92,28704,16.4,51365,4731,4563,-3.5,8.9,VA
19.4,20.4,4.4,Bedford County,25,87.6,0.3,1.2,7,2,0,1.4,90,88.3,28697,8.2,57596,68676,76583,2.3,91.2,VA
20.3,16.7,4,Bland County,14.7,83.4,0.1,0.3,3.7,0.7,0,0.8,95.1,94.5,18501,16.6,42139,6824,6625,-2.9,19.1,VA
19.9,20.1,3.8,Botetourt County,24.9,90.2,0.3,0.7,3.5,1.5,0,1.2,94.3,93.1,32490,7.7,65935,33148,33100,-0.1,61.2,VA
19.2,17.7,4.2,Brunswick County,12.2,71.3,0.3,0.4,55.1,2.1,0.1,1.1,43,41.5,16060,24,36293,17434,16498,-5.4,30.8,VA
19.4,17.7,4.4,Buchanan County,8.3,68.2,0.1,0.3,2.8,0.6,0,0.6,96.2,95.7,17489,25.9,29848,24098,23106,-4.1,47.9,VA
16.9,18.8,5.4,Buckingham County,11.9,70.9,0.3,0.4,34.6,2.1,0,1.8,62.8,61,17167,23,38648,17146,16913,-1.3,29.6,VA
18.1,20.1,4.7,Campbell County,17.1,83.8,0.3,1,14.5,2.2,0,1.8,82.3,80.4,23231,14.7,47162,54842,54885,0.1,108.8,VA
