Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
18.4,23,6.3,Marion County,13.9,86.7,0.3,0.6,4.1,1.8,0,1.6,93.3,91.8,21887,18.1,41010,39437,38571,-2.2,68.9,IL
21.8,19.9,4.9,Marshall County,17,90.8,0.3,0.8,0.5,3.3,0,0.9,97.5,94.6,25975,11,51504,12640,12014,-5,32.7,IL
19.8,21.1,4.8,Mason County,14.2,85.4,0.3,0.4,0.5,1.1,0,1.2,97.6,96.6,23199,16.3,42260,14666,13898,-5.2,27.2,IL
20.3,21.9,5.8,Massac County,16.7,83.4,0.4,0.4,5.8,2.6,0,2.1,91.3,89,22047,16.3,43615,15429,14905,-3.4,65,IL
18.1,22.4,5.3,Menard County,22.1,92.5,0.3,0.3,1.2,1.4,0,1.2,97,95.8,28330,9.8,58190,12705,12570,-1.1,40.4,IL
20.5,21.8,4.9,Mercer County,14.7,90.5,0.1,0.3,0.6,2.1,0,0.8,98.1,96.2,26620,10.1,53136,16434,15945,-3,29.3,IL
16,22.8,5.2,Monroe County,25.9,92.8,0.2,0.5,0.4,1.6,0,0.8,98,96.6,31758,5.4,68482,32957,33722,2.3,85.6,IL
18.4,20.5,5.1,Montgomery County,12.1,85.1,0.2,0.4,3.4,1.7,0,0.8,95.2,93.6,19917,14.1,41952,30104,29359,-2.5,42.8,IL
18.3,20.1,5.2,Morgan County,20.7,88.1,0.3,0.5,6.4,2.3,0,1.7,91,89.1,24337,14.4,46809,35547,34929,-1.7,62.5,IL
19,24.4,6.1,Moultrie County,14.1,85,0.2,0.3,0.5,1.3,0,0.8,98.2,97.1,23786,12.8,46622,14846,14837,-0.1,44.2,IL
17.2,23.1,5.2,Ogle County,19.9,88.9,0.4,0.6,1.1,9.6,0.1,1.2,96.7,87.7,26635,11.3,54541,53497,52085,-2.6,70.5,IL
